spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
4JeD0FGslDsMeeahEGZa2L,DEEPER,PARTYNEXTDOOR,23,-10,27,CA,2025-02-17,73,True,172337,$ome $exy $ongs 4 U,2025-02-14,0.431,0.534,7,-7.302,0,0.094,0.0965,0.0,0.0629,0.322,100.581,4,Lower
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,24,8,-9,CA,2025-02-17,89,True,159586,Alligator Bites Never Heal,2024-08-30,0.825,0.644,6,-3.24,0,0.33,0.0905,0.0,0.0795,0.622,93.292,4,Lower
0b0Dz0Gi86SVdBxYeiQcCP,Busy Woman,Sabrina Carpenter,25,-1,25,CA,2025-02-17,77,True,186612,Short n' Sweet (Deluxe),2025-02-14,0.727,0.755,7,-5.152,1,0.036,0.17,0.0,0.101,0.903,117.015,4,Higher
1F6nHHDJyTHLgDDFj1ZZDt,SOMETHING ABOUT YOU,"PARTYNEXTDOOR, Drake",26,-11,24,CA,2025-02-17,73,True,218682,$ome $exy $ongs 4 U,2025-02-14,0.51,0.491,7,-8.869,0,0.1,0.24,2.73e-05,0.359,0.0792,136.093,4,Lower
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,27,7,-4,CA,2025-02-17,87,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,About_Average
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",28,7,-7,CA,2025-02-17,82,True,178205,F-1 Trillion,2024-08-15,0.644,0.874,0,-4.723,1,0.0265,0.0113,0.0,0.227,0.753,128.017,4,Higher
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,29,7,-21,CA,2025-02-17,90,False,223398,Abracadabra,2025-02-03,0.68,0.909,10,-3.487,0,0.0624,0.0121,0.0,0.222,0.633,126.004,4,Lower
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",30,9,0,CA,2025-02-17,87,True,278276,SOS Deluxe: LANA,2024-12-20,0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4,Higher
4GqhG9rDuRUoNyDSMJ0Brq,SPIDER-MAN SUPERMAN,"PARTYNEXTDOOR, Drake",31,-10,19,CA,2025-02-17,72,True,203893,$ome $exy $ongs 4 U,2025-02-14,0.453,0.52,11,-9.146,1,0.0637,0.658,4.24e-06,0.118,0.111,111.035,4,Lower
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,32,14,-13,CA,2025-02-17,92,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,Lower
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,33,5,-5,CA,2025-02-17,88,False,157279,Short n' Sweet,2024-08-23,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,Higher
5aIEFCKhVUM5sKkwOSdFiM,CRYING IN CHANEL,Drake,34,-15,16,CA,2025-02-17,73,True,199602,$ome $exy $ongs 4 U,2025-02-14,0.6,0.411,2,-9.139,1,0.0719,0.224,0.000159,0.0997,0.119,113.327,4,Lower
4cwyp1aL1q3LfGCteqe8tL,PIMMIE'S DILEMMA,"Pimmie, PARTYNEXTDOOR, Drake",35,-5,15,CA,2025-02-17,39,False,118153,$ome $exy $ongs 4 U,2025-02-13,0.73,0.223,11,-8.423,1,0.0462,0.944,0.000895,0.109,0.247,129.776,4,Lower
2zOmS55knKWSgScYPTNmGQ,Sports car,Tate McRae,36,6,-18,CA,2025-02-17,86,False,165045,Sports car,2025-01-24,0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4,Higher
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,37,3,-13,CA,2025-02-17,87,False,210688,I've Tried Everything But Therapy (Part 1),2023-09-15,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,3,Lower
1YHQQFtKqFSFrqL4cNvstU,SMALL TOWN FAME,Drake,38,-16,12,CA,2025-02-17,72,True,148509,$ome $exy $ongs 4 U,2025-02-14,0.842,0.524,1,-6.031,0,0.305,0.443,9.74e-06,0.303,0.354,100.002,4,Lower
3HlWVKwU0JqJXqJK9DWHnZ,I'm The Problem,Morgan Wallen,39,2,-19,CA,2025-02-17,82,False,177811,I'm The Problem,2025-01-31,0.545,0.752,5,-4.989,0,0.0364,0.665,4.3e-06,0.0993,0.491,92.038,1,Lower
6IcD1PElC3dJof2jY3n3Yt,MEET YOUR PADRE,"PARTYNEXTDOOR, Drake, Chino Pacas",40,-9,10,CA,2025-02-17,36,False,271058,$ome $exy $ongs 4 U,2025-02-13,0.71,0.596,11,-8.555,0,0.0525,0.667,2.22e-05,0.11,0.716,127.523,4,Higher
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,41,3,9,CA,2025-02-17,85,True,177000,DAMN.,2017-04-14,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,Lower
3FHO87BSOEVAsedSnCTnvz,BRIAN STEEL,Drake,42,-16,8,CA,2025-02-17,71,True,111406,$ome $exy $ongs 4 U,2025-02-14,0.761,0.557,4,-7.98,0,0.171,0.0971,0.000118,0.214,0.474,146.971,4,Lower
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,43,2,-30,CA,2025-02-17,88,True,224136,Hurry Up Tomorrow,2025-01-31,0.647,0.645,7,-6.425,0,0.0303,0.0871,0.0,0.671,0.422,120.098,4,Lower
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,44,-1,-17,CA,2025-02-17,81,False,186964,Ordinary,2025-02-07,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51e-06,0.0562,0.382,112.252,4,Higher
2xxb5zW09uwbgyLprALi9E,RAINING IN HOUSTON,Drake,45,-17,5,CA,2025-02-17,71,True,244931,$ome $exy $ongs 4 U,2025-02-14,0.465,0.534,7,-6.316,0,0.0546,0.788,0.0,0.0992,0.439,119.173,4,Lower
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,46,3,-17,CA,2025-02-17,84,False,204828,Love Somebody,2024-10-18,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,4,Lower
2vjFTjmvpFjFM01cNdG2ik,LASERS,"PARTYNEXTDOOR, Drake",47,-10,3,CA,2025-02-17,70,True,198692,$ome $exy $ongs 4 U,2025-02-14,0.546,0.494,0,-4.707,0,0.0748,0.636,0.0,0.118,0.182,119.458,4,Lower
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",48,2,-16,CA,2025-02-17,83,False,227195,Zach Bryan,2023-08-25,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,Lower
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, Az Chike",49,1,1,CA,2025-02-17,84,True,155917,GNX,2024-11-22,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4,Lower
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,50,0,-7,CA,2025-02-17,84,True,186365,Short n' Sweet,2024-08-23,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,4,About_Average
